Conference,Type,Title,In Charge,Presentation year
ICSE,F,3DGen: AI-Assisted Generation of Provably Correct Binary Format Parsers,,
ICSE,F,A Catalog of Micro Frontends Anti-patterns,,
ICSE,F,Accessibility Issues in Ad-Driven Web Applications,,
ICSE,F,Accounting for Missing Events in Statistical Information Leakage Analysis,,
ICSE,F,ADAMAS: Adaptive Domain-Aware Performance Anomaly Detection in Cloud Service Systems,,
ICSE,F,A Differential Testing Framework to Identify Critical AV Failures Leveraging Arbitrary Inputs,,
ICSE,F,A First Look at Conventional Commits Classification,,
ICSE,F,A Large-Scale Study of Model Integration in ML-Enabled Software Systems,,
ICSE,F,Aligning the Objective of LLM-based Program Repair,,
ICSE,F,A Little Goes a Long Way: Tuning Configuration Selection for Continuous Kernel Fuzzing,,
ICSE,F,A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs,,
ICSE,F,A Multiple Representation Transformer with Optimized Abstract Syntax Tree for Efficient Code Clone Detection,,
ICSE,F,Analyzing the Feasibility of Adopting Google's Nonce-Based CSP Solutions on Websites,,
ICSE,F,An Empirical Study of Proxy Smart Contracts at the Ethereum Ecosystem Scale,,
ICSE,F,An Empirical Study on Automatically Detecting AI-Generated Source Code: How Far Are We?,,
ICSE,F,An Empirical Study on Commit Message Generation using LLMs via In-Context Learning,,
ICSE,F,An Empirical Study on Package-Level Deprecation in Python Ecosystem,,
ICSE,F,An Empirical Study on Reproducible Packaging in Open-Source Ecosystems,,
ICSE,F,An Exploratory Study of ML Sketches and Visual Code Assistants,,
ICSE,F,An Exploratory Study on the Engineering of Security Features,,
ICSE,F,An Extensive Empirical Study of Nondeterministic Behavior in Static Analysis Tools,,
ICSE,F,An LLM-Based Agent-Oriented Approach for Automated Code Design Issue Localization,,
ICSE,F,Answering User Questions about Machine Learning Models through Standardized Model Cards,,
ICSE,F,Are LLMs Correctly Integrated into Software Systems?,,
ICSE,F,Are We Learning the Right Features? A Framework for Evaluating DL-Based Software Vulnerability Detection Solutions,,
ICSE,F,AssetHarvester: A Static Analysis Tool for Detecting Secret-Asset Pairs in Software Artifacts,,
ICSE,F,A Study of Undefined Behavior Across Foreign Function Boundaries in Rust Libraries,,
ICSE,F,A Tale of Two DL Cities: When Library Tests Meet Compiler,,
ICSE,F,A Test Oracle for Reinforcement Learning Software based on Lyapunov Stability Control Theory,,
ICSE,F,Automated Accessibility Analysis of Dynamic Content Changes on Mobile Apps,,
ICSE,F,Automated Generation of Accessibility Test Reports from Recorded User Transcripts,,
ICSE,F,Automated Test Generation For Smart Contracts via On-Chain Test Case Augmentation and Migration,,
ICSE,F,Automated, Unsupervised, and Auto-parameterized Inference of Data Patterns and Anomaly Detection,,
ICSE,F,Automating a Complete Software Test Process Using LLMs: An Automotive Case Study,,
ICSE,F,BDefects4NN: A Backdoor Defect Database for Controlled Localization Studies in Neural Networks,,
ICSE,F,Between Lines of Code: Unraveling the Distinct Patterns of Machine and Human Programmers,,
